"season","c_m","zip3","ILIsum","popstatsum"
"10","C","506","472","32176"
"10","A","507","205","40457"
"10","C","507","481","15239"
"10","A","508","43","16271"
"10","C","508","30","5987"
"10","A","510","366","42997"
"10","C","510","970","17254"
"10","A","511","285","44612"
"10","C","511","668","19161"
"10","A","512","101","21260"
"10","C","512","159","9097"
"10","A","513","238","23780"
"10","C","513","472","8465"
"10","A","514","213","23128"
"10","C","514","231","9105"
"10","A","515","278","77248"
"10","C","515","309","29280"
"10","A","516","55","12152"
"10","C","516","40","4386"
"10","A","520","364","72727"
"10","C","520","662","28281"
"10","A","521","39","30607"
"10","C","521","63","11262"
"10","A","522","813","99613"
"10","C","522","1257","32127"
"10","A","523","1135","80112"
"10","C","523","1807","30786"
"10","A","524","1152","73962"
"10","C","524","1474","28068"
"10","A","525","265","56841"
"10","C","525","482","20678"
"10","A","526","289","54829"
"10","C","526","373","20053"
"10","A","527","745","89104"
"10","C","527","1141","33842"
"10","A","528","644","54543"
"10","C","528","964","21630"
"10","A","530","1293","345761"
"10","C","530","2317","123018"
"10","A","531","980","376791"
"10","C","531","3047","134583"
"10","A","532","2595","436342"
"10","C","532","4378","176454"
"10","A","534","60","67729"
"10","C","534","83","26926"
"10","A","535","452","293403"
"10","C","535","485","108654"
"10","A","537","116","170922"
"10","C","537","60","46773"
"10","A","538","55","30910"
"10","C","538","87","11553"
"10","A","539","140","107222"
"10","C","539","138","35189"
"10","A","540","139","83524"
"10","C","540","223","29811"
"10","A","541","254","136134"
"10","C","541","337","49983"
"10","A","542","71","70130"
"10","C","542","61","23207"
"10","A","543","395","101426"
"10","C","543","280","35700"
"10","A","544","415","210945"
"10","C","544","517","75465"
"10","A","545","88","47447"
"10","C","545","105","15161"
"10","A","546","234","131473"
"10","C","546","297","47133"
"10","A","547","476","143482"
"10","C","547","457","50328"
"10","A","548","556","97419"
"10","C","548","665","32873"
"10","A","549","314","264155"
"10","C","549","372","91370"
"10","A","550","655","375452"
"10","C","550","1030","141928"
"10","A","551","871","414200"
"10","C","551","1206","155276"
"10","A","553","927","545849"
"10","C","553","1070","209273"
"10","A","554","1319","578677"
"10","C","554","1363","186908"
"10","A","557","430","88227"
"10","C","557","523","27731"
"10","A","558","486","62999"
"10","C","558","456","21951"
"10","A","559","206","174869"
"10","C","559","209","64951"
"10","A","560","361","139005"
"10","C","560","454","49905"
"10","A","561","186","43549"
"10","C","561","219","16841"
"10","A","562","73","73562"
"10","C","562","64","27128"
"10","A","563","285","170425"
"10","C","563","442","59720"
"10","A","564","283","72475"
"10","C","564","347","25769"
"10","A","565","156","87240"
"10","C","565","191","32051"
