"season","c_m","zip3","ILIsum","popstatsum"
"1","C","789","62","12596"
"1","A","790","67","107714"
"1","C","790","58","53705"
"1","A","791","167","103298"
"1","C","791","74","44208"
"1","A","793","22","69459"
"1","C","793","23","35244"
"1","A","794","48","117773"
"1","C","794","41","48695"
"1","A","796","23","61018"
"1","C","796","19","27817"
"1","A","797","111","180606"
"1","C","797","35","85885"
"1","A","799","87","350538"
"1","C","799","64","171742"
"1","A","800","256","361755"
"1","C","800","1291","137969"
"1","A","801","202","296982"
"1","C","801","1523","112202"
"1","A","802","309","480371"
"1","C","802","1198","165771"
"1","A","803","10","75040"
"1","C","803","26","21022"
"1","A","804","123","115217"
"1","C","804","197","38200"
"1","A","805","101","208958"
"1","C","805","142","79210"
"1","A","806","45","93183"
"1","C","806","56","40879"
"1","A","808","11","52905"
"1","C","808","54","20958"
"1","A","809","129","255252"
"1","C","809","286","96496"
"1","A","810","51","112017"
"1","C","810","62","45825"
