"season","c_m","zip3","ILI","popstat"
"1","C","290","429","1531193"
"1","O","290","212","989409"
"1","A","291","158","2773578"
"1","C","291","164","1301775"
"1","O","291","127","1005166"
"1","A","292","274","3215748"
"1","C","292","339","1169047"
"1","O","292","308","818451"
"1","A","293","342","3472534"
"1","C","293","360","1482224"
"1","O","293","321","760195"
"1","A","294","390","6921420"
"1","C","294","561","2874564"
"1","O","294","513","1952865"
"1","A","295","645","6086381"
"1","C","295","503","2480086"
"1","O","295","515","2420864"
"1","A","296","881","9460920"
"1","C","296","1437","3694346"
"1","O","296","1402","3036178"
"1","A","297","321","2671366"
"1","C","297","181","880075"
"1","O","297","72","556460"
"1","A","298","26","562611"
"1","C","298","10","91944"
"1","O","298","17","177076"
"1","A","299","74","921126"
"1","C","299","45","396305"
"1","O","299","88","431194"
"1","A","300","818","22931322"
"1","C","300","1646","7980417"
"1","O","300","1641","6210334"
"1","A","301","750","10244749"
"1","C","301","685","4048818"
"1","O","301","640","3342162"
"1","A","302","488","8517854"
"1","C","302","814","3592458"
"1","O","302","766","2567863"
"1","A","303","374","9754736"
"1","C","303","277","2825631"
"1","O","303","344","2023627"
"1","A","304","105","1358789"
"1","C","304","40","446404"
"1","O","304","133","630849"
"1","A","305","230","4056312"
"1","C","305","205","1580333"
"1","O","305","249","1791547"
"1","A","306","113","2250289"
"1","C","306","146","934339"
"1","O","306","218","691175"
"1","A","307","334","3055903"
"1","C","307","185","1093409"
"1","O","307","161","1152903"
"1","A","308","116","984235"
"1","C","308","61","391856"
"1","O","308","32","161277"
"1","A","309","86","1380502"
"1","C","309","58","503364"
"1","O","309","40","265320"
"1","A","310","220","4376690"
"1","C","310","412","2002711"
"1","O","310","488","1470983"
"1","A","312","78","930045"
"1","C","312","397","685878"
"1","O","312","363","430716"
"1","A","313","140","1302663"
"1","C","313","235","731133"
"1","O","313","437","421723"
"1","A","314","236","1738421"
"1","C","314","297","824485"
"1","O","314","628","702914"
"1","A","315","179","2567187"
"1","C","315","128","964702"
"1","O","315","316","1172033"
"1","A","316","33","636738"
"1","C","316","17","162068"
"1","O","316","25","150492"
"1","A","317","1122","4960144"
"1","C","317","728","2313374"
"1","O","317","476","1913178"
"1","A","318","49","300897"
"1","C","318","36","129119"
"1","O","318","39","96965"
"1","A","319","73","1082611"
"1","C","319","50","370735"
"1","O","319","36","246760"
"1","A","320","240","4587181"
"1","C","320","210","1812995"
"1","O","320","141","1391848"
"1","A","321","244","4075813"
"1","C","321","183","1501886"
"1","O","321","290","2122884"
"1","A","322","262","8423914"
"1","C","322","206","3155038"
"1","O","322","250","2339360"
"1","A","323","7","383652"
"1","C","323","9","203569"
"1","O","323","29","312864"
"1","A","324","64","1730073"
"1","C","324","200","1020913"
"1","O","324","301","791654"
"1","A","325","281","5930147"
"1","C","325","286","2270134"
"1","O","325","459","2225432"
"1","A","326","213","2858571"
"1","C","326","195","1020158"
"1","O","326","184","791146"
"1","A","327","396","8519503"
"1","C","327","262","2952056"
"1","O","327","293","3357765"
"1","A","328","580","8346837"
"1","C","328","168","2678323"
"1","O","328","293","2423706"
"1","A","329","57","2505055"
"1","C","329","57","1027026"
"1","O","329","32","832568"
"1","A","330","283","16112831"
"1","C","330","914","5560233"
"1","O","330","1337","6950994"
"1","A","331","101","13180443"
"1","C","331","495","6744708"
"1","O","331","707","6468827"
"1","A","333","371","8123291"
"1","C","333","628","2629160"
"1","O","333","886","3744697"
"1","A","334","477","12459284"
"1","C","334","432","4355984"
"1","O","334","1018","8847009"
"1","A","335","107","3939594"
"1","C","335","37","974579"
"1","O","335","79","1657186"
"1","A","336","190","6262421"
"1","C","336","28","1010947"
"1","O","336","61","1415414"
"1","A","337","105","5152989"
"1","C","337","251","1952708"
"1","O","337","371","3584183"
"1","A","338","236","4978625"
"1","C","338","257","2254977"
"1","O","338","278","2743190"
"1","A","339","325","5014157"
"1","C","339","723","1842232"
"1","O","339","1029","4258356"
"1","A","341","51","1353279"
"1","C","341","54","525431"
"1","O","341","115","943322"
"1","A","342","225","5188073"
"1","C","342","69","1247576"
"1","O","342","99","3762137"
"1","A","344","71","1518968"
"1","C","344","265","949639"
"1","O","344","305","1258635"
"1","A","346","100","3478036"
"1","C","346","201","1397696"
"1","O","346","210","2523652"
"1","A","347","855","3955741"
"1","C","347","332","1520801"
"1","O","347","467","2043262"
"1","A","349","64","1436228"
"1","C","349","193","763853"
"1","O","349","390","1907839"
"1","A","350","83","2575639"
"1","C","350","35","660556"
"1","O","350","168","1132183"
"1","A","351","123","2142330"
"1","C","351","60","802364"
"1","O","351","89","687511"
"1","A","352","90","3411801"
"1","C","352","8","224339"
"1","O","352","20","469941"
"1","A","354","87","873179"
"1","C","354","177","654245"
"1","O","354","129","366639"
"1","A","355","119","909766"
"1","C","355","87","293858"
"1","O","355","62","294840"
"1","A","356","114","2082951"
"1","C","356","56","702415"
"1","O","356","68","737601"
"1","A","357","6","100011"
"1","C","357","7","63899"
"1","O","357","3","34089"
"1","A","358","5","73596"
"1","C","358","2","23626"
"1","O","358","10","97532"
"1","A","359","80","1513409"
"1","C","359","58","595538"
"1","O","359","77","477957"
"1","A","360","94","1555494"
"1","C","360","177","1069147"
"1","O","360","203","422978"
"1","A","361","69","1016268"
